"Date","Temperature Max","Temperature Avg","Temperature Min","Dew Point Max","Dew Point Avg","Dew Point Min","Humidity Max","Humidity Avg","Humidity Min","Wind Speed Max","Wind Speed Avg","Wind Speed Min","Pressure Max","Pressure Avg","Pressure Min","Total Precipitation Inches"
"1963-9-1","76","69.3","64","61","59.2","56","84","70.9","56","16","7.7","2","29.8","29.8","29.7","0.00"
"1963-9-2","77","69.9","67","61","60.4","60","81","72.4","56","14","7.4","2","29.8","29.8","29.7","0.00"
"1963-9-3","71","67.7","66","62","60.8","60","84","78.7","73","14","7.5","5","29.8","29.8","29.8","0.00"
"1963-9-4","69","66.3","65","64","62.3","60","93","86.9","81","9","5.5","2","29.8","29.8","29.8","0.00"
"1963-9-5","72","68.1","65","66","63.5","62","93","85.1","76","14","8.8","0","29.8","29.8","29.8","0.00"
"1963-9-6","75","68.5","66","64","62.8","61","90","82.3","66","15","8.4","3","29.9","29.8","29.8","0.00"
"1963-9-7","77","70.4","63","65","61.8","60","90","75.2","60","18","8.3","0","29.9","29.8","29.8","0.00"
"1963-9-8","82","72.6","64","66","61.3","59","87","68.8","49","17","7.8","0","29.9","29.8","29.8","0.00"
"1963-9-9","80","71.6","65","66","61.8","58","93","72.5","56","20","7.9","0","29.8","29.8","29.7","0.00"
"1963-9-10","87","72.6","65","62","59.5","57","78","64.6","36","16","6.7","0","29.8","29.7","29.7","0.00"
"1963-9-11","89","75.7","63","62","58.0","53","87","58.2","31","14","5.9","0","29.7","29.7","29.6","0.00"
"1963-9-12","91","78.2","69","61","58.1","50","73","52.1","24","10","5.1","0","29.8","29.8","29.7","0.00"
"1963-9-13","81","73.9","68","64","62.0","60","81","66.8","52","18","8.8","0","29.8","29.8","29.7","0.00"
"1963-9-14","77","69.5","63","65","62.8","60","90","79.7","62","14","7.4","0","29.7","29.7","29.6","0.00"
"1963-9-15","78","71.0","67","63","61.2","60","81","71.3","58","15","7.8","2","29.7","29.7","29.7","0.00"
"1963-9-16","77","70.5","66","61","59.3","58","78","68.1","54","15","7.6","2","29.8","29.7","29.7","0.00"
"1963-9-17","71","67.2","64","66","61.0","57","87","80.5","73","12","7.2","0","29.7","29.7","29.6","0.00"
"1963-9-18","77","71.0","68","65","62.1","60","87","74.0","60","20","8.9","5","29.8","29.8","29.6","0.00"
"1963-9-19","74","69.3","66","64","61.8","59","90","77.8","59","13","8.0","2","29.9","29.8","29.8","0.00"
"1963-9-20","75","68.5","62","64","61.1","58","87","77.8","64","15","7.5","0","29.9","29.8","29.7","0.00"
"1963-9-21","78","70.5","64","66","63.3","60","90","78.3","58","14","7.0","0","29.7","29.7","29.6","0.00"
"1963-9-22","76","70.3","65","66","63.7","62","97","80.3","66","15","7.8","0","29.7","29.7","29.7","0.00"
"1963-9-23","78","70.1","62","66","63.0","59","90","78.8","60","14","7.5","2","29.8","29.7","29.7","0.00"
"1963-9-24","79","71.7","64","67","64.1","61","96","77.5","54","15","6.5","0","29.8","29.7","29.7","0.00"
"1963-9-25","89","76.6","65","67","64.2","59","93","68.2","36","13","6.6","2","29.7","29.7","29.6","0.00"
"1963-9-26","109","91.6","80","63","56.4","52","56","32.7","16","12","5.9","0","29.7","29.7","29.6","0.00"
"1963-9-27","104","87.5","78","62","56.0","50","51","35.4","16","14","6.8","0","29.7","29.7","29.6","0.00"
"1963-9-28","101","85.1","75","65","57.9","50","69","41.5","18","15","6.3","2","29.6","29.6","29.5","0.00"
"1963-9-29","99","81.3","71","69","63.9","52","85","59.8","21","13","7.1","2","29.8","29.6","29.5","0.00"
"1963-9-30","81","73.8","71","68","66.1","65","87","77.2","64","16","8.2","3","29.9","29.8","29.8","0.00"
