"Date","Temperature Max","Temperature Avg","Temperature Min","Dew Point Max","Dew Point Avg","Dew Point Min","Humidity Max","Humidity Avg","Humidity Min","Wind Speed Max","Wind Speed Avg","Wind Speed Min","Pressure Max","Pressure Avg","Pressure Min","Total Precipitation Inches"
"1991-6-1","68","56.0","0","53","46.7","0","83","64.8","0","13","8.5","3","29.8","29.8","29.7","0.00"
"1991-6-2","65","57.3","0","54","50.0","0","87","73.3","0","13","7.4","0","29.8","29.8","29.8","0.00"
"1991-6-3","64","52.8","0","55","47.8","0","93","73.1","0","15","10.4","6","29.8","29.8","29.7","0.00"
"1991-6-4","66","51.7","0","55","46.4","0","93","69.0","0","13","6.3","0","29.8","29.7","29.7","0.00"
"1991-6-5","66","50.0","0","54","43.6","0","83","62.9","0","14","8.9","3","29.9","29.8","29.8","0.00"
"1991-6-6","64","56.7","0","53","50.2","0","87","75.2","0","17","8.6","0","29.9","29.9","29.8","0.00"
"1991-6-7","66","44.5","0","54","39.8","0","93","60.2","0","16","8.3","0","29.9","29.9","29.8","0.00"
"1991-6-8","65","53.4","0","54","47.0","0","90","69.2","0","13","7.0","0","29.8","29.8","29.8","0.00"
"1991-6-9","68","53.0","0","55","46.1","0","90","64.6","0","17","7.2","0","29.8","29.8","29.7","0.00"
"1991-6-10","64","45.6","0","58","41.7","0","90","62.4","0","13","6.5","0","29.8","29.8","29.7","0.00"
"1991-6-11","68","50.3","0","58","45.5","0","93","65.1","0","13","5.9","0","29.8","29.8","29.8","0.00"
"1991-6-12","68","50.5","0","58","44.3","0","93","61.6","0","12","6.0","0","29.9","29.8","29.8","0.00"
"1991-6-13","69","60.9","0","57","52.3","0","84","70.2","0","14","7.6","0","29.8","29.8","29.8","0.00"
"1991-6-14","68","63.5","60","55","54.2","51","81","72.2","63","14","8.6","3","29.9","29.8","29.8","0.00"
"1991-6-15","69","53.9","0","56","46.8","0","83","63.9","0","18","11.3","7","29.9","29.9","29.8","0.00"
"1991-6-16","68","53.6","0","57","47.2","0","87","65.9","0","14","6.7","0","29.9","29.9","29.9","0.00"
"1991-6-17","70","47.5","0","58","42.5","0","96","59.6","0","12","5.3","0","29.8","29.8","29.8","0.00"
"1991-6-18","69","57.1","0","58","50.1","0","86","67.4","0","15","6.6","0","29.9","29.8","29.8","0.00"
"1991-6-19","69","62.1","0","57","53.2","0","80","69.1","0","13","8.7","3","29.9","29.9","29.8","0.00"
"1991-6-20","71","58.2","0","58","49.1","0","80","62.3","0","15","8.0","0","29.9","29.9","29.8","0.00"
"1991-6-21","71","57.8","0","57","48.5","0","84","61.6","0","14","7.4","0","29.9","29.9","29.8","0.00"
"1991-6-22","74","60.1","0","56","49.7","0","83","62.4","0","14","7.3","3","29.9","29.8","29.8","0.00"
"1991-6-23","69","52.7","0","57","43.3","0","84","55.8","0","15","8.6","0","29.9","29.8","29.8","0.00"
"1991-6-24","68","58.2","0","54","46.4","0","78","58.7","0","16","8.8","0","29.9","29.8","29.8","0.00"
"1991-6-25","71","59.1","0","55","49.2","0","83","63.5","0","16","8.5","0","29.9","29.8","29.8","0.00"
"1991-6-26","74","51.6","0","58","44.1","0","86","57.9","0","18","8.8","0","29.9","29.8","29.7","0.00"
"1991-6-27","72","59.6","0","58","51.1","0","90","67.4","0","16","8.1","0","29.8","29.8","29.7","0.00"
"1991-6-28","72","54.1","0","59","47.6","0","93","63.0","0","16","8.4","0","29.8","29.8","29.8","0.00"
"1991-6-29","71","60.3","0","58","51.9","0","87","67.5","0","18","11.8","7","29.8","29.8","29.8","0.00"
"1991-6-30","73","59.6","0","61","51.6","0","87","65.9","0","14","6.8","0","29.8","29.7","29.7","0.00"
