"Date","Temperature Max","Temperature Avg","Temperature Min","Dew Point Max","Dew Point Avg","Dew Point Min","Humidity Max","Humidity Avg","Humidity Min","Wind Speed Max","Wind Speed Avg","Wind Speed Min","Pressure Max","Pressure Avg","Pressure Min","Total Precipitation Inches"
"2020-4-1","69","62.3","58","55","53.6","52","87","73.7","59","15","6.5","0","29.8","29.7","29.7","0.00"
"2020-4-2","68","62.9","59","53","51.2","49","75","66.0","56","16","8.8","0","29.8","29.8","29.8","0.00"
"2020-4-3","66","61.0","54","51","49.8","48","80","67.1","54","15","6.6","0","29.9","29.8","29.8","0.00"
"2020-4-4","66","60.6","56","51","49.6","47","80","67.5","54","15","7.6","0","29.8","29.8","29.7","0.00"
"2020-4-5","64","60.0","57","51","48.9","47","81","67.0","56","16","9.6","6","29.8","29.8","29.7","0.00"
"2020-4-6","61","58.4","55","53","50.8","47","88","76.5","60","15","9.5","3","29.9","29.8","29.7","0.41"
"2020-4-7","66","57.2","53","52","47.9","44","83","72.0","48","28","9.5","0","29.9","29.9","29.8","0.87"
"2020-4-8","61","56.0","52","48","45.1","43","86","67.7","52","15","6.8","0","30.0","29.9","29.8","0.26"
"2020-4-9","57","54.0","52","51","48.3","45","86","81.1","77","13","9.0","6","30.0","29.9","29.9","0.02"
"2020-4-10","65","57.3","52","51","47.5","45","83","70.6","48","17","7.3","0","29.9","29.9","29.8","1.05"
"2020-4-11","67","59.9","52","54","50.4","46","80","71.2","56","13","7.7","0","29.9","29.8","29.8","0.05"
"2020-4-12","62","59.9","59","53","51.7","51","81","74.3","72","12","6.2","0","29.9","29.9","29.9","0.00"
"2020-4-13","65","60.4","58","54","52.1","51","84","74.5","65","16","6.6","0","30.0","30.0","29.9","0.02"
"2020-4-14","67","60.8","55","55","52.0","49","82","73.1","59","17","6.4","0","30.0","30.0","29.9","0.00"
"2020-4-15","78","66.1","55","54","46.4","35","78","51.5","21","17","7.0","0","29.9","29.9","29.8","0.00"
"2020-4-16","70","61.1","55","56","52.8","50","87","74.8","55","15","6.8","3","29.8","29.8","29.8","0.00"
"2020-4-17","66","61.2","58","52","50.5","49","78","68.1","54","15","6.7","0","29.9","29.8","29.8","0.00"
"2020-4-18","66","62.3","60","52","50.4","48","75","65.4","52","18","11.1","3","29.9","29.9","29.9","0.00"
"2020-4-19","65","61.8","59","52","49.8","47","72","64.8","52","17","11.1","6","30.0","29.9","29.9","0.00"
"2020-4-20","67","61.9","58","52","51.2","50","78","68.5","57","21","11.5","0","30.0","29.9","29.9","0.00"
"2020-4-21","69","62.5","57","54","52.0","50","82","69.2","54","16","7.7","0","30.0","29.9","29.9","0.00"
"2020-4-22","79","67.7","57","55","51.5","41","81","58.7","26","17","8.0","0","30.0","29.9","29.9","0.00"
"2020-4-23","85","70.2","62","58","56.0","53","80","61.9","36","15","6.5","0","29.9","29.8","29.7","0.00"
"2020-4-24","82","73.5","63","57","54.3","41","75","53.3","23","16","7.7","0","29.8","29.8","29.7","0.00"
"2020-4-25","84","69.9","63","61","58.3","56","84","68.0","40","12","6.4","0","29.9","29.8","29.8","0.00"
"2020-4-26","72","65.0","58","60","57.8","54","93","78.2","61","13","5.1","0","29.8","29.8","29.8","0.00"
"2020-4-27","72","65.9","61","59","57.6","57","90","75.1","59","12","5.5","0","29.9","29.8","29.8","0.00"
"2020-4-28","74","66.0","63","60","58.5","57","87","77.1","61","14","5.8","0","29.9","29.8","29.8","0.00"
"2020-4-29","70","64.9","62","60","58.3","56","90","79.6","68","15","6.8","0","29.9","29.9","29.8","0.00"
"2020-4-30","69","64.6","62","58","57.4","57","84","77.5","65","12","5.7","0","29.8","29.8","29.7","0.00"
