"Date","Temperature Max","Temperature Avg","Temperature Min","Dew Point Max","Dew Point Avg","Dew Point Min","Humidity Max","Humidity Avg","Humidity Min","Wind Speed Max","Wind Speed Avg","Wind Speed Min","Pressure Max","Pressure Avg","Pressure Min","Total Precipitation Inches"
"1959-1-1","69","58.5","50","57","46.6","37","93","66.6","36","9","6.3","3","29.9","29.8","29.7","0.00"
"1959-1-2","67","58.0","54","53","49.5","36","90","74.5","51","12","6.3","0","29.8","29.7","29.7","0.00"
"1959-1-3","65","55.6","48","44","35.6","0","71","51.5","23","16","6.4","0","29.8","29.8","29.7","0.00"
"1959-1-4","64","55.5","49","49","40.5","28","83","58.8","34","14","7.2","2","29.9","29.9","29.8","0.00"
"1959-1-5","60","55.9","51","53","46.5","41","90","71.5","49","24","12.5","2","29.9","29.8","29.7","0.00"
"1959-1-6","65","57.9","53","55","53.3","51","97","85.0","63","31","10.0","2","30.0","29.8","29.6","0.00"
"1959-1-7","66","57.2","51","54","49.5","46","93","76.4","54","8","5.7","0","30.1","30.0","30.0","0.00"
"1959-1-8","70","60.8","55","54","47.6","41","83","63.3","37","10","6.3","0","30.1","30.1","30.0","0.00"
"1959-1-9","71","61.5","55","59","50.1","43","90","67.7","42","13","5.3","0","30.1","30.0","30.0","0.00"
"1959-1-10","70","61.6","56","59","56.0","50","93","82.6","63","8","3.9","0","30.0","29.9","29.9","0.00"
"1959-1-11","70","58.3","53","58","55.0","51","100","89.8","63","9","3.9","0","30.0","29.9","29.9","0.00"
"1959-1-12","63","57.6","53","56","54.6","53","100","90.1","78","12","5.7","0","30.0","30.0","29.9","0.00"
"1959-1-13","66","59.4","56","57","55.1","53","93","86.1","68","12","5.7","0","30.0","30.0","30.0","0.00"
"1959-1-14","66","58.8","54","56","54.2","52","100","85.5","65","14","4.1","0","30.0","30.0","30.0","0.00"
"1959-1-15","71","57.9","47","57","50.8","36","100","81.0","29","13","4.4","0","30.0","30.0","30.0","0.00"
"1959-1-16","77","61.9","50","57","51.8","44","100","72.8","40","13","4.5","0","30.0","29.9","29.8","0.00"
"1959-1-17","74","60.1","49","58","52.6","45","100","78.9","41","10","4.9","0","29.9","29.9","29.9","0.00"
"1959-1-18","62","56.0","53","56","53.9","50","100","92.9","80","8","4.6","0","29.9","29.9","29.8","0.00"
"1959-1-19","60","55.6","53","54","51.4","50","100","86.5","69","8","5.0","0","29.8","29.7","29.6","0.00"
"1959-1-20","67","57.7","52","50","37.5","24","89","50.0","25","14","7.7","2","29.9","29.8","29.6","0.00"
"1959-1-21","70","58.5","50","47","27.2","0","62","34.8","14","13","9.0","5","30.1","30.0","29.9","0.00"
"1959-1-22","68","58.4","51","50","31.1","19","75","39.5","15","13","6.3","0","30.1","30.1","30.0","0.00"
"1959-1-23","71","58.4","48","55","37.8","0","90","53.3","22","13","5.8","0","30.1","30.1","30.0","0.00"
"1959-1-24","68","57.5","48","56","50.3","39","93","77.8","56","12","4.4","0","30.1","30.1","30.0","0.00"
"1959-1-25","65","56.3","48","57","52.6","48","100","88.3","61","14","4.2","0","30.1","30.0","30.0","0.00"
"1959-1-26","68","59.4","53","55","49.0","36","97","71.5","41","12","5.9","0","30.0","29.9","29.9","0.00"
"1959-1-27","72","60.8","52","55","41.8","30","87","53.5","24","13","5.9","0","30.0","29.9","29.9","0.00"
"1959-1-28","68","58.3","49","53","46.5","35","87","66.5","37","18","7.1","0","29.9","29.9","29.8","0.00"
"1959-1-29","74","60.8","52","50","40.6","28","72","49.8","19","15","7.0","0","30.0","29.9","29.9","0.00"
"1959-1-30","70","58.6","50","52","39.9","30","83","53.3","23","25","8.8","0","30.0","30.0","29.9","0.00"
"1959-1-31","70","58.0","47","47","31.3","0","66","40.8","21","16","7.9","0","30.1","30.0","29.9","0.00"
