"Date","Temperature Max","Temperature Avg","Temperature Min","Dew Point Max","Dew Point Avg","Dew Point Min","Humidity Max","Humidity Avg","Humidity Min","Wind Speed Max","Wind Speed Avg","Wind Speed Min","Pressure Max","Pressure Avg","Pressure Min","Total Precipitation Inches"
"2017-6-1","70","64.6","61","59","57.7","57","90","78.6","65","15","7.7","0","29.8","29.7","29.7","0.00"
"2017-6-2","69","63.9","60","60","58.6","57","90","83.5","70","16","7.1","0","29.8","29.7","29.7","0.00"
"2017-6-3","71","64.6","61","61","60.0","59","97","85.7","70","13","7.2","0","29.8","29.8","29.7","0.00"
"2017-6-4","67","63.1","61","61","59.7","59","94","88.8","78","12","5.7","0","29.8","29.8","29.7","0.00"
"2017-6-5","69","63.8","60","60","58.9","58","96","84.4","70","14","6.7","0","29.8","29.8","29.7","0.00"
"2017-6-6","68","63.5","62","60","59.1","58","93","85.9","73","13","8.0","3","29.8","29.8","29.8","0.00"
"2017-6-7","68","63.7","61","61","59.1","58","97","85.5","73","14","8.2","3","29.9","29.8","29.8","0.00"
"2017-6-8","68","62.9","60","60","58.0","53","100","84.7","67","22","11.4","6","29.9","29.9","29.8","0.00"
"2017-6-9","70","64.3","58","61","57.8","54","93","80.3","59","21","9.6","0","29.8","29.8","29.8","0.00"
"2017-6-10","68","63.8","61","60","57.3","56","93","79.7","70","15","7.5","0","29.8","29.8","29.7","0.00"
"2017-6-11","68","64.1","61","59","55.5","50","86","73.9","54","18","10.2","5","29.8","29.8","29.7","0.00"
"2017-6-12","71","63.6","57","56","51.7","42","83","66.7","36","21","10.4","3","29.9","29.9","29.8","0.00"
"2017-6-13","72","65.2","57","57","55.2","53","90","71.3","55","16","8.0","0","29.8","29.8","29.7","0.00"
"2017-6-14","74","67.6","61","61","58.6","56","93","73.9","53","15","6.6","0","29.8","29.8","29.7","0.00"
"2017-6-15","78","69.3","62","63","59.9","56","96","73.6","46","13","6.0","0","29.8","29.8","29.7","0.00"
"2017-6-16","77","68.4","63","64","61.5","59","100","79.7","56","13","5.8","0","29.8","29.8","29.7","0.00"
"2017-6-17","74","67.2","62","63","61.4","60","97","82.5","62","15","7.6","0","29.8","29.7","29.7","0.00"
"2017-6-18","73","66.6","61","62","61.4","61","100","84.2","66","14","6.7","0","29.7","29.7","29.6","0.00"
"2017-6-19","73","64.9","61","63","61.7","61","100","89.6","68","15","8.2","0","29.7","29.7","29.7","0.00"
"2017-6-20","71","64.6","61","62","61.5","60","100","90.3","73","16","6.8","0","29.8","29.7","29.7","0.00"
"2017-6-21","72","65.7","62","62","61.6","60","100","87.2","68","13","7.8","3","29.7","29.6","29.6","0.00"
"2017-6-22","73","66.3","63","63","61.3","60","97","84.3","66","13","6.4","0","29.8","29.7","29.6","0.00"
"2017-6-23","69","65.6","62","62","61.1","60","93","85.9","73","17","9.2","3","29.8","29.8","29.7","0.00"
"2017-6-24","70","64.6","61","62","60.5","59","97","87.1","68","16","8.8","0","29.8","29.8","29.7","0.00"
"2017-6-25","76","68.8","63","62","61.0","60","93","77.2","60","22","7.8","0","29.8","29.8","29.7","0.00"
"2017-6-26","81","72.3","65","63","59.6","55","81","65.6","42","16","6.9","0","29.8","29.8","29.8","0.00"
"2017-6-27","76","69.2","63","62","59.3","56","87","71.6","53","15","7.4","0","29.8","29.7","29.7","0.00"
"2017-6-28","71","65.8","62","61","59.6","59","93","80.9","68","14","7.2","0","29.8","29.8","29.7","0.00"
"2017-6-29","71","66.3","64","60","58.7","57","87","77.0","61","13","6.6","0","29.8","29.8","29.8","0.00"
"2017-6-30","71","66.1","62","60","59.3","58","90","79.3","66","14","8.2","0","29.8","29.8","29.7","0.00"
