"Date","Temperature Max","Temperature Avg","Temperature Min","Dew Point Max","Dew Point Avg","Dew Point Min","Humidity Max","Humidity Avg","Humidity Min","Wind Speed Max","Wind Speed Avg","Wind Speed Min","Pressure Max","Pressure Avg","Pressure Min","Total Precipitation Inches"
"1964-3-1","62","53.5","44","48","42.9","35","77","67.6","53","15","9.5","5","30.1","30.0","30.0","0.00"
"1964-3-2","59","53.8","51","49","33.4","22","89","50.5","28","26","16.8","6","29.9","29.8","29.6","0.00"
"1964-3-3","66","55.0","47","43","26.5","16","59","35.2","15","25","16.6","7","30.0","29.8","29.7","0.00"
"1964-3-4","63","54.0","44","51","40.3","0","90","64.3","47","14","9.0","5","30.1","30.0","30.0","0.00"
"1964-3-5","61","54.1","47","49","47.8","45","96","80.0","62","18","8.8","3","30.0","29.9","29.8","0.00"
"1964-3-6","60","53.3","46","47","38.3","25","86","59.1","33","30","14.5","0","29.9","29.8","29.7","0.00"
"1964-3-7","58","50.0","42","34","27.0","0","60","44.0","33","24","11.8","6","30.0","29.8","29.8","0.00"
"1964-3-8","64","52.8","40","39","26.3","3","65","40.6","9","25","13.3","6","30.1","30.1","30.0","0.00"
"1964-3-9","63","51.8","42","46","38.3","27","80","61.0","41","16","8.9","3","30.1","30.1","30.0","0.00"
"1964-3-10","61","53.7","48","48","44.0","39","86","70.9","48","18","8.8","0","30.0","29.9","29.9","0.00"
"1964-3-11","61","53.8","46","48","45.1","39","86","73.1","60","17","9.2","3","30.0","29.9","29.9","0.00"
"1964-3-12","59","53.8","52","50","46.6","43","93","77.6","58","16","10.5","3","29.9","29.9","29.8","0.00"
"1964-3-13","61","55.1","48","49","35.6","0","93","55.2","36","20","12.3","3","30.0","29.9","29.8","0.00"
"1964-3-14","72","58.0","45","44","39.5","33","83","54.0","24","18","9.1","3","30.1","30.0","30.0","0.00"
"1964-3-15","70","59.2","49","50","39.9","31","72","51.8","26","16","8.9","3","30.1","29.9","29.8","0.00"
"1964-3-16","79","70.6","62","37","9.1","3","39","10.6","5","40","20.3","3","30.0","29.9","29.9","0.00"
"1964-3-17","87","72.0","58","44","21.5","0","55","18.7","8","17","10.9","3","29.9","29.8","29.7","0.00"
"1964-3-18","68","58.0","52","52","47.9","35","83","70.7","32","15","9.1","3","29.8","29.7","29.7","0.00"
"1964-3-19","65","58.3","55","49","47.4","45","80","67.8","52","15","11.0","3","30.0","29.9","29.8","0.00"
"1964-3-20","64","58.2","54","51","49.1","48","90","72.5","58","16","9.8","5","30.0","30.0","29.9","0.00"
"1964-3-21","59","55.6","52","49","45.6","38","83","69.4","59","25","13.9","5","29.9","29.8","29.7","0.00"
"1964-3-22","56","51.4","47","48","40.4","33","86","67.3","51","26","17.3","8","29.8","29.7","29.6","0.00"
"1964-3-23","54","48.7","46","45","42.8","41","86","80.2","66","15","8.8","3","29.7","29.7","29.6","0.00"
"1964-3-24","56","49.7","43","45","40.6","39","90","71.8","59","21","11.4","2","30.0","29.8","29.7","0.00"
"1964-3-25","60","52.3","44","47","40.6","38","82","65.7","46","20","9.7","3","30.1","30.1","30.0","0.00"
"1964-3-26","64","54.9","44","50","42.4","34","89","64.6","38","16","8.5","3","30.0","29.9","29.9","0.00"
"1964-3-27","65","57.0","48","49","45.8","41","89","67.9","45","15","8.4","3","29.9","29.8","29.8","0.00"
"1964-3-28","67","57.8","50","53","47.8","40","93","71.5","41","15","8.5","3","29.9","29.9","29.8","0.00"
"1964-3-29","69","57.3","51","53","50.4","46","100","79.5","44","17","8.9","3","29.9","29.9","29.9","0.00"
"1964-3-30","60","54.5","51","53","49.9","48","96","84.4","72","17","8.1","2","29.9","29.9","29.9","0.00"
"1964-3-31","61","54.7","49","53","50.0","47","93","84.8","62","18","11.1","3","29.9","29.9","29.9","0.00"
