"Date","Temperature Max","Temperature Avg","Temperature Min","Dew Point Max","Dew Point Avg","Dew Point Min","Humidity Max","Humidity Avg","Humidity Min","Wind Speed Max","Wind Speed Avg","Wind Speed Min","Pressure Max","Pressure Avg","Pressure Min","Total Precipitation Inches"
"1985-6-1","67","56.4","0","47","41.3","0","69","51.3","0","15","7.8","0","29.9","29.9","29.8","0.00"
"1985-6-2","66","59.0","0","49","45.0","0","75","56.8","0","21","10.0","0","29.8","29.8","29.8","0.00"
"1985-6-3","67","52.9","0","52","41.3","0","77","52.9","0","16","7.1","0","29.8","29.8","29.7","0.00"
"1985-6-4","68","62.4","56","52","50.2","49","77","64.8","52","16","7.3","0","29.9","29.8","29.8","0.00"
"1985-6-5","69","56.5","0","55","46.9","0","78","60.8","0","13","6.1","0","29.8","29.8","29.7","0.00"
"1985-6-6","72","44.9","0","56","36.8","0","87","45.8","0","14","6.1","0","29.8","29.8","29.8","0.00"
"1985-6-7","76","68.9","62","59","53.9","45","81","60.1","39","14","6.5","0","29.8","29.8","29.8","0.00"
"1985-6-8","73","45.7","0","60","38.6","0","87","48.1","0","13","7.0","0","29.8","29.8","29.7","0.00"
"1985-6-9","71","46.6","0","62","42.3","0","90","57.3","0","14","7.2","0","29.8","29.7","29.7","0.00"
"1985-6-10","76","62.4","0","63","54.0","0","90","67.3","0","10","7.2","0","29.8","29.7","29.7","0.00"
"1985-6-11","76","62.1","0","58","52.7","0","81","65.1","0","12","7.5","3","29.8","29.8","29.8","0.00"
"1985-6-12","69","57.6","0","58","50.7","0","84","67.7","0","15","9.1","3","29.8","29.8","29.8","0.00"
"1985-6-13","69","51.0","0","57","44.6","0","90","60.3","0","14","8.2","3","29.8","29.8","29.7","0.00"
"1985-6-14","70","53.8","0","58","46.8","0","84","61.5","0","14","7.6","3","29.8","29.7","29.7","0.00"
"1985-6-15","71","56.6","0","59","49.6","0","84","64.5","0","12","6.3","0","29.7","29.7","29.7","0.00"
"1985-6-16","72","58.4","0","59","50.8","0","84","66.0","0","12","6.2","0","29.8","29.7","29.7","0.00"
"1985-6-17","72","66.1","63","58","56.8","54","84","72.4","57","16","8.8","3","29.8","29.8","29.8","0.00"
"1985-6-18","68","48.0","0","58","42.4","0","84","57.8","0","14","8.2","0","29.8","29.8","29.8","0.00"
"1985-6-19","69","55.1","0","58","48.1","0","84","64.3","0","13","7.8","5","29.8","29.8","29.7","0.00"
"1985-6-20","71","62.0","0","55","51.2","0","81","64.7","0","14","7.1","0","29.7","29.7","29.7","0.00"
"1985-6-21","71","60.2","0","54","49.0","0","78","60.4","0","16","7.5","0","29.8","29.8","29.7","0.00"
"1985-6-22","70","59.5","0","56","50.8","0","83","66.5","0","15","8.7","5","29.9","29.8","29.8","0.00"
"1985-6-23","69","55.7","0","58","48.0","0","84","62.5","0","20","9.8","0","29.8","29.8","29.8","0.00"
"1985-6-24","69","51.5","0","56","43.0","0","81","55.4","0","17","10.2","3","29.9","29.8","29.8","0.00"
"1985-6-25","68","63.1","59","55","53.9","53","81","72.3","59","14","8.4","5","29.8","29.8","29.8","0.00"
"1985-6-26","70","48.1","0","59","42.4","0","87","57.8","0","15","7.7","0","29.8","29.8","29.7","0.00"
"1985-6-27","71","37.9","0","61","34.1","0","93","46.8","0","16","7.6","0","29.9","29.8","29.8","0.00"
"1985-6-28","67","38.8","0","60","35.4","0","97","50.9","0","17","7.2","0","29.9","29.8","29.8","0.00"
"1985-6-29","71","43.5","0","59","37.8","0","90","49.7","0","13","6.3","0","29.9","29.9","29.8","0.00"
"1985-6-30","87","75.5","65","58","52.9","45","75","49.0","23","15","6.6","0","29.9","29.8","29.8","0.00"
