"Date","Temperature Max","Temperature Avg","Temperature Min","Dew Point Max","Dew Point Avg","Dew Point Min","Humidity Max","Humidity Avg","Humidity Min","Wind Speed Max","Wind Speed Avg","Wind Speed Min","Pressure Max","Pressure Avg","Pressure Min","Total Precipitation Inches"
"1967-9-1","87","76.3","67","64","59.8","56","79","58.1","41","13","7.7","3","29.7","29.7","29.6","0.00"
"1967-9-2","89","78.4","72","67","63.4","51","76","60.4","43","16","8.5","2","29.9","29.8","29.7","0.00"
"1967-9-3","79","73.0","69","65","63.5","62","84","72.2","58","13","8.7","5","29.9","29.8","29.8","0.00"
"1967-9-4","79","71.7","68","66","63.9","62","93","76.9","62","15","7.8","3","29.8","29.7","29.7","0.00"
"1967-9-5","79","72.1","67","64","62.4","60","81","72.0","56","16","9.0","3","29.9","29.8","29.7","0.00"
"1967-9-6","76","69.9","65","63","60.8","60","84","73.6","62","14","7.8","0","29.9","29.8","29.8","0.00"
"1967-9-7","74","68.9","65","62","60.4","60","84","75.0","62","15","7.9","2","29.9","29.9","29.8","0.00"
"1967-9-8","75","69.3","66","61","59.8","58","81","72.3","59","16","9.1","3","29.9","29.8","29.8","0.00"
"1967-9-9","77","68.7","64","62","60.3","58","84","75.3","58","14","8.3","3","29.8","29.8","29.7","0.00"
"1967-9-10","84","73.6","67","62","59.1","54","81","62.2","44","14","7.2","3","29.8","29.7","29.7","0.00"
"1967-9-11","85","74.6","67","65","58.4","52","81","58.8","34","17","8.2","3","29.9","29.8","29.8","0.00"
"1967-9-12","79","73.3","69","66","63.6","62","84","72.1","58","16","10.6","6","29.9","29.8","29.8","0.00"
"1967-9-13","74","69.3","67","62","61.0","60","84","75.4","64","17","10.2","3","29.8","29.8","29.7","0.00"
"1967-9-14","75","69.0","66","61","60.1","59","84","73.6","62","16","8.5","3","29.8","29.7","29.7","0.00"
"1967-9-15","76","69.0","66","62","60.4","60","81","74.5","58","14","7.9","3","29.8","29.7","29.7","0.00"
"1967-9-16","75","69.2","66","61","60.1","60","81","73.8","60","14","7.8","2","29.8","29.7","29.7","0.00"
"1967-9-17","75","70.0","67","61","58.8","57","81","68.1","55","16","8.5","3","29.9","29.8","29.8","0.00"
"1967-9-18","72","68.9","67","61","58.8","57","81","70.2","61","9","7.0","3","29.8","29.7","29.6","0.00"
"1967-9-19","74","70.5","68","62","60.2","59","81","70.2","59","13","8.3","5","29.6","29.6","29.6","0.00"
"1967-9-20","77","70.4","66","63","61.4","60","84","73.7","58","14","7.6","1","29.7","29.6","29.6","0.00"
"1967-9-21","81","71.5","65","63","60.1","58","81","68.4","45","16","8.7","1","29.8","29.8","29.7","0.00"
"1967-9-22","76","70.2","66","62","60.9","59","81","72.9","56","17","8.5","2","29.9","29.8","29.7","0.00"
"1967-9-23","78","70.1","66","62","60.8","60","84","73.0","54","15","8.2","1","29.7","29.6","29.6","0.00"
"1967-9-24","73","69.5","68","62","59.4","58","78","70.3","59","13","8.3","3","29.7","29.7","29.7","0.00"
"1967-9-25","73","69.4","67","60","59.8","59","79","71.9","64","14","10.2","7","29.7","29.6","29.6","0.00"
"1967-9-26","75","69.0","66","62","60.4","59","81","74.4","62","14","7.0","3","29.7","29.7","29.6","0.00"
"1967-9-27","75","69.3","67","63","61.3","60","84","75.9","62","16","9.2","5","29.8","29.7","29.7","0.00"
"1967-9-28","73","69.0","67","65","62.1","60","87","78.6","73","17","10.0","5","29.8","29.7","29.7","0.00"
"1967-9-29","71","67.7","67","64","62.0","61","87","82.0","73","17","8.8","3","29.8","29.8","29.7","0.00"
"1967-9-30","72","67.8","66","63","61.6","61","87","80.5","70","12","7.1","2","29.8","29.8","29.7","0.00"
